"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","exp_parameters","inducer_run","diagnostic_run","cue_num","post_cue","inducer_trial","italic","forced_equal_run","correct_inducer_response_side","correct_diag_response_side","correct_response_key","correct_response","congruent","force_equal","correct_indu_response_side","accuracy","interactive"
"","call-function","0","2","0.0-0.0","0d9lxg08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","812","0.0-1.0","0d9lxg08","1825","958","true","edge-chromium","123.0.0","false","Windows 10","true","75.35","true","true","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","2","99301","0.0-2.0","0d9lxg08","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":49525},{""page_index"":1,""viewing_time"":24946},{""page_index"":2,""viewing_time"":24017}]","98488","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","","","","","",""
"","fullscreen","3","111927","0.0-3.0","0d9lxg08","","","","","","","","","","","","","11611","","Full screen","true","","","","","","","","","","","","","","","","","",""
"","instructions","4","178002","0.0-4.0","0d9lxg08","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":29634},{""page_index"":1,""viewing_time"":36439}]","66074","Instructions","Basic overview explanation","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","199519","0.0-5.0","0d9lxg08","","","","","","","","","","","","","null","If italic press LEFT | If upright press RIGHT","Diagnostic instructions","","null","{""debug"":false,""skip_instructions"":false,""skip_practice"":false,""save_local_data"":false,""studu_name"":""exp2"",""default_background_colour"":""#cccccc"",""wrong_response_colour"":""#d22d2d"",""instruction_delay"":20000,""trial_duration"":2000,""short_fixation"":750,""long_fixation"":1500,""wrong_response_delay"":300,""too_slow_delay"":300,""instruction_font_size"":""24px"",""general_font_size"":""42px"",""fixation_size"":""48px"",""allowed_responses"":[""f"",""j""],""cue_min_length"":0,""cue_max_length"":4,""tot_post_cue_len"":72,""cue_colour"":""red"",""cue_shape"":""Triangle"",""cue_size"":70,""cue_duration"":1250,""avg_number_of_cues"":3,""inducer_colour"":""yellow"",""number_of_inducers"":24,""pre_cue_italic_forced_equal"":true,""post_cue_italic_forced_equal"":true,""prac_diagnostic_rounds"":16,""prac_inducer_rounds"":6,""prac_cue_rounds"":16,""prac_post_cue_num"":3}","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","200286","0.0-6.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","202341","0.0-7.0","0d9lxg08","","","","","","","","","","","","","2055","ibg","Diagnostic practice","","f","","Diagnostic practice","0","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","8","203098","0.0-10.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","204043","0.0-11.0","0d9lxg08","","","","","","","","","","","","","944","ibg","Diagnostic practice","","j","","Diagnostic practice","1","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","10","204809","0.0-14.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","205496","0.0-15.0","0d9lxg08","","","","","","","","","","","","","686","wab","Diagnostic practice","","j","","Diagnostic practice","2","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","12","206262","0.0-18.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","206885","0.0-19.0","0d9lxg08","","","","","","","","","","","","","623","wab","Diagnostic practice","","f","","Diagnostic practice","3","-84","true","false","true","prac equal","RIGHT","LEFT","f","1","false","","","",""
"","html-keyboard-response","14","207646","0.0-22.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","208372","0.0-23.0","0d9lxg08","","","","","","","","","","","","","725","wab","Diagnostic practice","","j","","Diagnostic practice","4","-84","true","false","false","prac equal","RIGHT","RIGHT","j","1","true","","","",""
"","html-keyboard-response","16","209129","0.0-26.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","210193","0.0-27.0","0d9lxg08","","","","","","","","","","","","","1064","ibg","Diagnostic practice","","j","","Diagnostic practice","5","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","18","210954","0.0-30.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","211505","0.0-31.0","0d9lxg08","","","","","","","","","","","","","550","ibg","Diagnostic practice","","j","","Diagnostic practice","6","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
"","html-keyboard-response","20","212261","0.0-34.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","212949","0.0-35.0","0d9lxg08","","","","","","","","","","","","","687","ibg","Diagnostic practice","","f","","Diagnostic practice","7","-84","true","false","true","prac equal","LEFT","LEFT","f","1","true","","","",""
"","html-keyboard-response","22","213702","0.0-38.0","0d9lxg08","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","214471","0.0-39.0","0d9lxg08","","","","","","","","","","","","","769","ibg","Diagnostic practice","","j","","Diagnostic practice","8","-84","true","false","false","prac equal","LEFT","RIGHT","j","1","false","","","",""
